epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1203.35,1.41648,1.46565,1.92949,1,0.45902,0.64532,0.35097,1.80499,2.3164,2.3571,0.0008219,0.0008219,0.0008219
121,1211.98,1.43574,1.4281,1.93472,1,0.46736,0.6688,0.38326,1.74192,2.21978,2.27816,0.000812,0.000812,0.000812
122,1220.92,1.47652,1.49246,1.9606,1,0.51093,0.67928,0.36091,1.75111,2.17404,2.29182,0.0008021,0.0008021,0.0008021
123,1229.86,1.47614,1.46243,1.94777,0.9309,0.41176,0.63778,0.30823,1.86345,2.31748,2.44673,0.0007922,0.0007922,0.0007922
124,1238.79,1.33645,1.36357,1.82506,1,0.39945,0.58209,0.29164,1.87909,2.3834,2.50169,0.0007823,0.0007823,0.0007823
125,1247.64,1.3479,1.37878,1.8652,1,0.40412,0.62664,0.32414,1.85817,2.29319,2.41023,0.0007724,0.0007724,0.0007724
126,1256.35,1.42587,1.40143,1.86877,1,0.44053,0.63999,0.30429,1.98017,2.30438,2.48367,0.0007625,0.0007625,0.0007625
127,1265.27,1.44052,1.48868,1.92341,1,0.45699,0.65118,0.34132,1.9632,2.27025,2.43933,0.0007526,0.0007526,0.0007526
128,1273.8,1.31722,1.29358,1.81772,1,0.46927,0.64512,0.33197,1.86007,2.23968,2.31734,0.0007427,0.0007427,0.0007427
129,1282.64,1.33677,1.33369,1.81429,0.80506,0.48696,0.62044,0.3379,1.90045,2.24206,2.32949,0.0007328,0.0007328,0.0007328
130,1291.4,1.26979,1.30911,1.76731,0.82949,0.5733,0.61103,0.32718,1.95532,2.21871,2.32619,0.0007229,0.0007229,0.0007229
131,1300.09,1.36779,1.34147,1.85025,0.83042,0.57691,0.61972,0.32974,1.87569,2.13942,2.2374,0.000713,0.000713,0.000713
132,1308.88,1.28508,1.33916,1.78792,0.75191,0.58824,0.63804,0.34306,1.84675,2.07,2.18819,0.0007031,0.0007031,0.0007031
133,1317.63,1.29654,1.2722,1.76887,0.77459,0.64706,0.68488,0.37319,1.85444,1.95279,2.14102,0.0006932,0.0006932,0.0006932
134,1326.51,1.26096,1.22254,1.7505,0.81337,0.64706,0.70369,0.39504,1.82344,1.82403,2.12175,0.0006833,0.0006833,0.0006833
135,1335.39,1.31039,1.28646,1.78013,0.96946,0.47059,0.68463,0.35853,1.89431,1.86538,2.23108,0.0006734,0.0006734,0.0006734
136,1343.97,1.28525,1.22479,1.78323,0.82675,0.56269,0.68172,0.35047,1.93505,1.89084,2.26808,0.0006635,0.0006635,0.0006635
137,1352.76,1.31171,1.3018,1.80483,0.81439,0.64706,0.68515,0.37582,1.80573,1.79717,2.13063,0.0006536,0.0006536,0.0006536
138,1361.62,1.32916,1.31914,1.78473,0.79717,0.64706,0.69365,0.34479,1.82962,1.89374,2.16142,0.0006437,0.0006437,0.0006437
139,1370.47,1.25557,1.2181,1.73392,0.81017,0.58824,0.66654,0.30725,1.93475,1.99807,2.24278,0.0006338,0.0006338,0.0006338
140,1379.35,1.24377,1.23449,1.74296,0.82599,0.58824,0.67898,0.36706,1.82756,1.84889,2.12276,0.0006239,0.0006239,0.0006239
141,1387.85,1.26671,1.22563,1.72361,0.78429,0.52941,0.66033,0.3838,1.70117,1.89341,2.06146,0.000614,0.000614,0.000614
142,1396.63,1.27159,1.20018,1.73374,0.92093,0.52941,0.6704,0.419,1.5724,1.83535,1.97298,0.0006041,0.0006041,0.0006041
143,1405.42,1.28262,1.22443,1.73808,1,0.51083,0.68711,0.43005,1.56719,1.84316,1.97732,0.0005942,0.0005942,0.0005942
144,1414.17,1.20378,1.2058,1.74626,0.57068,0.52941,0.68784,0.42274,1.54501,1.77333,1.96309,0.0005843,0.0005843,0.0005843
145,1422.98,1.26718,1.24476,1.76552,0.76342,0.41176,0.61415,0.3517,1.65478,1.86359,2.05236,0.0005744,0.0005744,0.0005744
146,1431.74,1.25122,1.23404,1.74419,0.64382,0.53179,0.66413,0.37087,1.67518,1.89593,2.05604,0.0005645,0.0005645,0.0005645
147,1440.57,1.23065,1.23281,1.72013,1,0.48888,0.69736,0.40094,1.59606,1.79956,1.97158,0.0005546,0.0005546,0.0005546
148,1449.32,1.16125,1.17479,1.67332,0.79133,0.64706,0.76038,0.47681,1.52472,1.64506,1.90306,0.0005447,0.0005447,0.0005447
149,1458.19,1.26166,1.23014,1.77057,0.96496,0.70588,0.80087,0.49454,1.5255,1.48626,1.88596,0.0005348,0.0005348,0.0005348
